средняя,БРОНЯ ИЗ ШКУР,1000,12,Защита: 12 + модификатор ловкости (макс. 2)
средняя,КИРАСА,40000,20,Защита: 14 + модификатор ловкости (макс. 2)
легкая,КЛЕПАННАЯ КОЖАННАЯ БРОНЯ,4500,13,Защита: 12 + модификатор ловкости
легкая,КОЖАННАЯ БРОНЯ,1000,10,Защита: 11 + модификатор ловкости
тяжелая,КОЛЕЧНАЯ БРОНЯ,3000,40,Защита: 14
тяжелая,КОЛЬЧУЖНАЯ БРОНЯ,7500,55,Защита: 16
средняя,КОЛЬЧУЖНАЯ РУБАХА,5000,20,Защита: 13 + модификатор ловкости (макс. 2)
тяжелая,ЛАТЫ,150000,65,Защита: 18
тяжелая,НАБОРНАЯ БРОНЯ,20000,60,Защита: 17
средняя,ПОЛУЛАТЫ,75000,40,Защита: 15 + модификатор ловкости (макс. 2)
легкая,СТЕГАННАЯ БРОНЯ,500,8,Защита: 11 + модификатор ловкости
средняя,ЧЕШУЙЧАТАЯ БРОНЯ,5000,45,Защита: 14 + модификатор ловкости (макс. 2)
щит,ЩИТ,1000,6,Защита: +2
